folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
66225n,C_second.txt,3,3,0.0,0.5512359738349915,0.5512359738349915,0.0
97520e,E_second.txt,2,2,0.0,0.6607711315155029,0.6607711315155029,0.0
97520e,N_second.txt,2,2,0.0,0.7474732398986816,0.7474732398986816,0.0
97520e,C_second.txt,0,0,0.0,,,
37407n,E_second.txt,0,0,0.0,,,
37407n,N_second.txt,3,3,0.0,0.48862123489379883,0.48862123489379883,0.0
37407n,C_second.txt,4,4,0.0,0.4359922409057617,0.4359922409057617,0.0
41052n,E_second.txt,1,1,0.0,,,
41052n,N_second.txt,3,3,0.0,0.5194964408874512,0.5194964408874512,0.0
41052n,C_second.txt,2,2,0.0,0.5274536609649658,0.5274536609649658,0.0
97569e,E_second.txt,3,3,0.0,0.6034895181655884,0.6034895181655884,0.0
97569e,N_second.txt,4,4,0.0,0.36184898018836975,0.36184898018836975,0.0
97569e,C_second.txt,2,2,0.0,0.2170248031616211,0.2170248031616211,0.0
102817c,E_second.txt,4,4,0.0,0.7277540564537048,0.7277540564537048,0.0
102817c,N_second.txt,4,4,0.0,0.5612654089927673,0.5612654089927673,0.0
102817c,C_second.txt,3,3,0.0,0.7584214806556702,0.7584214806556702,0.0
139409e,E_second.txt,2,2,0.0,0.5129481554031372,0.5129481554031372,0.0
139409e,N_second.txt,2,2,0.0,0.7656040191650391,0.7656040191650391,0.0
139409e,C_second.txt,2,2,0.0,0.3114438056945801,0.3114438056945801,0.0
57454e,E_second.txt,2,2,0.0,0.6899867057800293,0.6899867057800293,0.0
57454e,N_second.txt,3,3,0.0,0.6041706800460815,0.6041706800460815,0.0
57454e,C_second.txt,2,2,0.0,0.6640582084655762,0.6640582084655762,0.0
66689c,E_second.txt,0,0,0.0,,,
66689c,N_second.txt,2,2,0.0,0.7911632061004639,0.7911632061004639,0.0
66689c,C_second.txt,2,2,0.0,0.6778566837310791,0.6778566837310791,0.0
123703e,E_second.txt,0,0,0.0,,,
123703e,N_second.txt,2,2,0.0,0.8766883611679077,0.8766883611679077,0.0
123703e,C_second.txt,1,1,0.0,,,
34573n,E_second.txt,3,3,0.0,0.30564478039741516,0.30564478039741516,0.0
34573n,N_second.txt,4,4,0.0,0.3632010519504547,0.3632010519504547,0.0
34573n,C_second.txt,3,3,0.0,0.47797831892967224,0.47797831892967224,0.0
133243e,E_second.txt,2,2,0.0,0.7878932952880859,0.7878932952880859,0.0
133243e,N_second.txt,2,2,0.0,0.7532875537872314,0.7532875537872314,0.0
133243e,C_second.txt,2,2,0.0,0.5455067157745361,0.5455067157745361,0.0
40710n,E_second.txt,3,3,0.0,0.7331005930900574,0.7331005930900574,0.0
40710n,N_second.txt,3,3,0.0,0.5371246933937073,0.5371246933937073,0.0
40710n,C_second.txt,1,1,0.0,,,
114971e,E_second.txt,0,0,0.0,,,
114971e,N_second.txt,3,3,0.0,0.6667441725730896,0.6667441725730896,0.0
114971e,C_second.txt,1,1,0.0,,,
80517e,E_second.txt,2,2,0.0,0.8363808393478394,0.8363808393478394,0.0
80517e,N_second.txt,2,2,0.0,0.6178470849990845,0.6178470849990845,0.0
80517e,C_second.txt,2,2,0.0,0.5400956869125366,0.5400956869125366,0.0
30139n,E_second.txt,3,3,0.0,0.6399405002593994,0.6399405002593994,0.0
30139n,N_second.txt,2,2,0.0,0.7575012445449829,0.7575012445449829,0.0
30139n,C_second.txt,3,3,0.0,0.7478194236755371,0.7478194236755371,0.0
54327n,E_second.txt,2,2,0.0,0.5864567756652832,0.5864567756652832,0.0
54327n,N_second.txt,3,3,0.0,0.45058369636535645,0.45058369636535645,0.0
54327n,C_second.txt,2,2,0.0,0.5635302066802979,0.5635302066802979,0.0
120070n,E_second.txt,2,2,0.0,0.6008219718933105,0.6008219718933105,0.0
