folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
83247e,N_second.txt,1,1,0.0,,,
83247e,C_second.txt,2,2,0.0,0.635460615158081,0.635460615158081,0.0
122062n,E_second.txt,4,4,0.0,0.48753753304481506,0.48753753304481506,0.0
122062n,N_second.txt,3,3,0.0,0.44597235321998596,0.44597235321998596,0.0
122062n,C_second.txt,3,3,0.0,0.5540380477905273,0.5540380477905273,0.0
89995c,E_second.txt,4,4,0.0,0.6754243969917297,0.6754243969917297,0.0
89995c,N_second.txt,2,2,0.0,0.7940938472747803,0.7940938472747803,0.0
89995c,C_second.txt,3,3,0.0,0.7573557496070862,0.7573557496070862,0.0
97926c,E_second.txt,1,1,0.0,,,
97926c,N_second.txt,3,3,0.0,0.32088354229927063,0.32088354229927063,0.0
97926c,C_second.txt,3,3,0.0,0.4687773883342743,0.4687773883342743,0.0
49807n,E_second.txt,0,0,0.0,,,
49807n,N_second.txt,2,2,0.0,0.3535017967224121,0.3535017967224121,0.0
49807n,C_second.txt,3,3,0.0,0.38740500807762146,0.38740500807762146,0.0
95186n,E_second.txt,5,5,0.0,0.652298092842102,0.652298092842102,0.0
95186n,N_second.txt,4,4,0.0,0.41349777579307556,0.41349777579307556,0.0
95186n,C_second.txt,3,3,0.0,0.6589846014976501,0.6589846014976501,0.0
129601e,E_second.txt,3,3,0.0,0.5381004214286804,0.5381004214286804,0.0
129601e,N_second.txt,2,2,0.0,0.8327665328979492,0.8327665328979492,0.0
129601e,C_second.txt,3,3,0.0,0.7947983741760254,0.7947983741760254,0.0
66225n,E_second.txt,1,1,0.0,,,
66225n,N_second.txt,4,4,0.0,0.48872697353363037,0.48872697353363037,0.0
66225n,C_second.txt,3,3,0.0,0.7189815640449524,0.7189815640449524,0.0
97520e,E_second.txt,1,1,0.0,,,
97520e,N_second.txt,3,3,0.0,0.4520171880722046,0.4520171880722046,0.0
97520e,C_second.txt,2,2,0.0,0.6471384763717651,0.6471384763717651,0.0
37407n,E_second.txt,1,1,0.0,,,
37407n,N_second.txt,4,4,0.0,0.4702146053314209,0.4702146053314209,0.0
37407n,C_second.txt,3,3,0.0,0.5364564061164856,0.5364564061164856,0.0
41052n,E_second.txt,3,3,0.0,0.44937458634376526,0.44937458634376526,0.0
41052n,N_second.txt,3,3,0.0,0.626703679561615,0.626703679561615,0.0
41052n,C_second.txt,3,3,0.0,0.638207733631134,0.638207733631134,0.0
97569e,E_second.txt,1,1,0.0,,,
97569e,N_second.txt,2,2,0.0,0.2268068790435791,0.2268068790435791,0.0
97569e,C_second.txt,2,2,0.0,0.8030059337615967,0.8030059337615967,0.0
102817c,E_second.txt,0,0,0.0,,,
102817c,N_second.txt,3,3,0.0,0.5121760368347168,0.5121760368347168,0.0
102817c,C_second.txt,2,2,0.0,0.7723594903945923,0.7723594903945923,0.0
139409e,E_second.txt,1,1,0.0,,,
139409e,N_second.txt,3,3,0.0,0.5259379744529724,0.5259379744529724,0.0
139409e,C_second.txt,3,3,0.0,0.4320821762084961,0.4320821762084961,0.0
57454e,E_second.txt,3,3,0.0,0.5040937066078186,0.5040937066078186,0.0
57454e,N_second.txt,4,4,0.0,0.541210949420929,0.541210949420929,0.0
57454e,C_second.txt,3,3,0.0,0.6741102337837219,0.6741102337837219,0.0
66689c,E_second.txt,0,0,0.0,,,
66689c,N_second.txt,1,1,0.0,,,
66689c,C_second.txt,1,1,0.0,,,
123703e,E_second.txt,0,0,0.0,,,
123703e,N_second.txt,3,3,0.0,0.6715983748435974,0.6715983748435974,0.0
123703e,C_second.txt,3,3,0.0,0.5182759165763855,0.5182759165763855,0.0
34573n,E_second.txt,5,5,0.0,0.31115320324897766,0.31115320324897766,0.0
34573n,N_second.txt,3,3,0.0,0.4326573312282562,0.4326573312282562,0.0
34573n,C_second.txt,3,3,0.0,0.3517817556858063,0.3517817556858063,0.0
133243e,E_second.txt,1,1,0.0,,,
133243e,N_second.txt,3,3,0.0,0.44797149300575256,0.44797149300575256,0.0
133243e,C_second.txt,3,3,0.0,0.671240508556366,0.671240508556366,0.0
40710n,E_second.txt,4,4,0.0,0.7027694582939148,0.7027694582939148,0.0
40710n,N_second.txt,4,4,0.0,0.6637894511222839,0.6637894511222839,0.0
40710n,C_second.txt,2,2,0.0,0.38037145137786865,0.38037145137786865,0.0
114971e,E_second.txt,3,3,0.0,0.7664259076118469,0.7664259076118469,0.0
114971e,N_second.txt,2,2,0.0,0.5505691766738892,0.5505691766738892,0.0
114971e,C_second.txt,2,2,0.0,0.7045674324035645,0.7045674324035645,0.0
80517e,E_second.txt,2,2,0.0,0.4214531183242798,0.4214531183242798,0.0
80517e,N_second.txt,5,5,0.0,0.29900866746902466,0.29900866746902466,0.0
80517e,C_second.txt,1,1,0.0,,,
30139n,E_second.txt,2,2,0.0,0.6052173972129822,0.6052173972129822,0.0
30139n,N_second.txt,3,3,0.0,0.58674556016922,0.58674556016922,0.0
30139n,C_second.txt,3,3,0.0,0.5414659380912781,0.5414659380912781,0.0
54327n,E_second.txt,2,2,0.0,0.4466404318809509,0.4466404318809509,0.0
54327n,N_second.txt,3,3,0.0,0.5125661492347717,0.5125661492347717,0.0
54327n,C_second.txt,3,3,0.0,0.2351502925157547,0.2351502925157547,0.0
120070n,E_second.txt,3,3,0.0,0.6364386081695557,0.6364386081695557,0.0
120070n,N_second.txt,2,2,0.0,0.33236193656921387,0.33236193656921387,0.0
120070n,C_second.txt,3,3,0.0,0.6335166096687317,0.6335166096687317,0.0
63013n,E_second.txt,4,4,0.0,0.5379942059516907,0.5379942059516907,0.0
63013n,N_second.txt,3,3,0.0,0.5767370462417603,0.5767370462417603,0.0
63013n,C_second.txt,4,4,0.0,0.5501752495765686,0.5501752495765686,0.0
144753n,E_second.txt,3,3,0.0,0.46374794840812683,0.46374794840812683,0.0
144753n,N_second.txt,3,3,0.0,0.46019792556762695,0.46019792556762695,0.0
144753n,C_second.txt,2,2,0.0,0.2839404344558716,0.2839404344558716,0.0
101253c,E_second.txt,1,1,0.0,,,
101253c,N_second.txt,1,1,0.0,,,
101253c,C_second.txt,1,1,0.0,,,
917c,E_second.txt,1,1,0.0,,,
917c,N_second.txt,8,8,0.0,0.5119942426681519,0.5119942426681519,0.0
917c,C_second.txt,6,6,0.0,0.4853420853614807,0.4853420853614807,0.0
132516n,E_second.txt,0,0,0.0,,,
132516n,N_second.txt,3,3,0.0,0.3690539598464966,0.3690539598464966,0.0
132516n,C_second.txt,3,3,0.0,0.647593080997467,0.647593080997467,0.0
79106e,E_second.txt,3,3,0.0,0.3836125135421753,0.3836125135421753,0.0
79106e,N_second.txt,2,2,0.0,0.45453739166259766,0.45453739166259766,0.0
79106e,C_second.txt,4,4,0.0,0.4833005666732788,0.4833005666732788,0.0
38477c,E_second.txt,0,0,0.0,,,
38477c,N_second.txt,2,2,0.0,0.8179107904434204,0.8179107904434204,0.0
38477c,C_second.txt,3,3,0.0,0.6582031846046448,0.6582031846046448,0.0
53074n,E_second.txt,1,1,0.0,,,
53074n,N_second.txt,2,2,0.0,0.4873521327972412,0.4873521327972412,0.0
53074n,C_second.txt,2,2,0.0,0.5806674957275391,0.5806674957275391,0.0
76947n,E_second.txt,1,1,0.0,,,
76947n,N_second.txt,2,2,0.0,0.6358228921890259,0.6358228921890259,0.0
76947n,C_second.txt,3,3,0.0,0.4132595956325531,0.4132595956325531,0.0
82230e,E_second.txt,3,3,0.0,0.5998223423957825,0.5998223423957825,0.0
82230e,N_second.txt,2,2,0.0,0.7505506277084351,0.7505506277084351,0.0
82230e,C_second.txt,4,4,0.0,0.6615560054779053,0.6615560054779053,0.0
138966n,E_second.txt,7,7,0.0,0.36823660135269165,0.36823660135269165,0.0
138966n,N_second.txt,5,5,0.0,0.6461427807807922,0.6461427807807922,0.0
138966n,C_second.txt,5,5,0.0,0.5222523808479309,0.5222523808479309,0.0
40486n,E_second.txt,3,3,0.0,0.54307621717453,0.54307621717453,0.0
40486n,N_second.txt,4,4,0.0,0.4257826507091522,0.4257826507091522,0.0
40486n,C_second.txt,3,3,0.0,0.45509836077690125,0.45509836077690125,0.0
21810n,E_second.txt,3,3,0.0,0.3142894506454468,0.3142894506454468,0.0
21810n,N_second.txt,2,2,0.0,0.23936676979064941,0.23936676979064941,0.0
21810n,C_second.txt,2,2,0.0,0.3068208694458008,0.3068208694458008,0.0
77875e,E_second.txt,4,4,0.0,0.34793710708618164,0.34793710708618164,0.0
77875e,N_second.txt,5,5,0.0,0.6666814684867859,0.6666814684867859,0.0
77875e,C_second.txt,3,3,0.0,0.7585020065307617,0.7585020065307617,0.0
104412e,E_second.txt,1,1,0.0,,,
104412e,N_second.txt,3,3,0.0,0.2435571402311325,0.2435571402311325,0.0
104412e,C_second.txt,2,2,0.0,0.3615633249282837,0.3615633249282837,0.0
23751e,E_second.txt,4,4,0.0,0.7353264689445496,0.7353264689445496,0.0
23751e,N_second.txt,3,3,0.0,0.46035733819007874,0.46035733819007874,0.0
23751e,C_second.txt,2,2,0.0,0.7467347383499146,0.7467347383499146,0.0
42388e,E_second.txt,3,3,0.0,0.7017142176628113,0.7017142176628113,0.0
42388e,N_second.txt,3,3,0.0,0.44171056151390076,0.44171056151390076,0.0
42388e,C_second.txt,3,3,0.0,0.42433443665504456,0.42433443665504456,0.0
113668n,E_second.txt,5,5,0.0,0.6040849685668945,0.6040849685668945,0.0
113668n,N_second.txt,3,3,0.0,0.5900300741195679,0.5900300741195679,0.0
113668n,C_second.txt,3,3,0.0,0.5717572569847107,0.5717572569847107,0.0
88605e,E_second.txt,5,5,0.0,0.6955325603485107,0.6955325603485107,0.0
88605e,N_second.txt,2,2,0.0,0.44941002130508423,0.44941002130508423,0.0
88605e,C_second.txt,4,4,0.0,0.6251785159111023,0.6251785159111023,0.0
80630e,E_second.txt,1,1,0.0,,,
80630e,N_second.txt,1,1,0.0,,,
80630e,C_second.txt,1,1,0.0,,,
125700e,E_second.txt,2,2,0.0,0.4274033308029175,0.4274033308029175,0.0
125700e,N_second.txt,3,3,0.0,0.5493601560592651,0.5493601560592651,0.0
125700e,C_second.txt,2,2,0.0,0.572131872177124,0.572131872177124,0.0
70047c,E_second.txt,4,4,0.0,0.49781203269958496,0.49781203269958496,0.0
70047c,N_second.txt,3,3,0.0,0.3587038815021515,0.3587038815021515,0.0
70047c,C_second.txt,2,2,0.0,0.8266040086746216,0.8266040086746216,0.0
140005c,E_second.txt,3,3,0.0,0.6137085556983948,0.6137085556983948,0.0
140005c,N_second.txt,3,3,0.0,0.5559678077697754,0.5559678077697754,0.0
140005c,C_second.txt,2,2,0.0,0.7189498543739319,0.7189498543739319,0.0
71251n,E_second.txt,4,4,0.0,0.36634358763694763,0.36634358763694763,0.0
71251n,N_second.txt,2,2,0.0,0.631507396697998,0.631507396697998,0.0
71251n,C_second.txt,2,2,0.0,0.23968768119812012,0.23968768119812012,0.0
109876n,E_second.txt,3,3,0.0,0.37622296810150146,0.37622296810150146,0.0
109876n,N_second.txt,3,3,0.0,0.49648556113243103,0.49648556113243103,0.0
109876n,C_second.txt,3,3,0.0,0.3341602385044098,0.3341602385044098,0.0
83722e,E_second.txt,4,4,0.0,0.6009119153022766,0.6009119153022766,0.0
83722e,N_second.txt,3,3,0.0,0.5141168832778931,0.5141168832778931,0.0
83722e,C_second.txt,2,2,0.0,0.39650774002075195,0.39650774002075195,0.0
20181n,E_second.txt,4,4,0.0,0.6145920157432556,0.6145920157432556,0.0
20181n,N_second.txt,4,4,0.0,0.5802685022354126,0.5802685022354126,0.0
20181n,C_second.txt,8,8,0.0,0.5352035164833069,0.5352035164833069,0.0
23280n,E_second.txt,4,4,0.0,0.7094783186912537,0.7094783186912537,0.0
23280n,N_second.txt,1,1,0.0,,,
23280n,C_second.txt,3,3,0.0,0.7146165370941162,0.7146165370941162,0.0
140782c,E_second.txt,0,0,0.0,,,
140782c,N_second.txt,3,3,0.0,0.5358855724334717,0.5358855724334717,0.0
140782c,C_second.txt,4,4,0.0,0.5494738221168518,0.5494738221168518,0.0
88646c,E_second.txt,3,3,0.0,0.39632394909858704,0.39632394909858704,0.0
88646c,N_second.txt,0,0,0.0,,,
88646c,C_second.txt,3,3,0.0,0.34191954135894775,0.34191954135894775,0.0
24385e,E_second.txt,2,2,0.0,0.8107715845108032,0.8107715845108032,0.0
24385e,N_second.txt,3,3,0.0,0.47014379501342773,0.47014379501342773,0.0
24385e,C_second.txt,3,3,0.0,0.520538330078125,0.520538330078125,0.0
22587e,E_second.txt,5,5,0.0,0.5660974979400635,0.5660974979400635,0.0
22587e,N_second.txt,1,1,0.0,,,
22587e,C_second.txt,3,3,0.0,0.5483527779579163,0.5483527779579163,0.0
42860n,E_second.txt,1,1,0.0,,,
42860n,N_second.txt,1,1,0.0,,,
42860n,C_second.txt,2,2,0.0,0.47601568698883057,0.47601568698883057,0.0
122645n,E_second.txt,1,1,0.0,,,
122645n,N_second.txt,4,4,0.0,0.5765247941017151,0.5765247941017151,0.0
